{ name: 'Gaslighting: Denial', category: 'gaslighting', pattern: 'i never said that', description: 'Denying previous statements', severity: 8 }
{ name: 'NPD: Makes Me Look', category: 'npd_empathy_deficit', pattern: 'makes me look', description: 'Self-centering in crisis', severity: 8 }
{ name: 'NPD: Too Dramatic', category: 'npd_empathy_deficit', pattern: 'being too dramatic', description: 'Invalidating emotions', severity: 6 }
{ name: 'BPD: Going To Abandon', category: 'bpd_abandonment', pattern: 'going to abandon', description: 'Projecting abandonment', severity: 6 }
{ name: 'BPD: Already Abandoned', category: 'bpd_abandonment', pattern: 'already abandoned', description: 'Reframing custody as abandonment', severity: 7 }
{ name: 'BPD: With Or Against', category: 'bpd_splitting', pattern: 'with me or against me', description: 'Binary loyalty demand', severity: 7 }
{ name: 'BPD: Pure Evil', category: 'bpd_splitting', pattern: 'pure evil', description: 'All-or-nothing characterization', severity: 6 }
{ name: 'BPD: Never Loved', category: 'bpd_splitting', pattern: 'never really loved', description: 'Rewriting relationship history', severity: 7 }
{ name: 'BPD: End It All', category: 'bpd_self_harm_threat', pattern: 'end it all', description: 'Suicide threat', severity: 10 }
{ name: 'ASPD: Deserved It', category: 'aspd_callousness', pattern: 'deserved it', description: 'Justifying harm', severity: 7 }
{ name: 'ASPD: Made Me Do It', category: 'aspd_no_remorse', pattern: 'you made me do', description: 'Blaming victim for abuse', severity: 8 }
{ name: 'ASPD: Forced My Hand', category: 'aspd_no_remorse', pattern: 'forced my hand', description: 'Justifying harmful actions', severity: 6 }
{ name: 'Custody: Different Judge', category: 'custody_court_manipulation', pattern: 'different judge', description: 'Judge shopping intent', severity: 7 }
{ name: 'Custody: Drag It Out', category: 'custody_court_manipulation', pattern: 'drag it out', description: 'Explicit delay tactic', severity: 8 }
{ name: 'Custody: Game The System', category: 'custody_court_manipulation', pattern: 'game the system', description: 'Admission of manipulation', severity: 9 }
{ name: 'Custody: None Of Your Business', category: 'custody_gatekeeping', pattern: 'none of your business', description: 'Blocking parental information', severity: 6 }
{ name: 'Custody: Not Allowed To See', category: 'custody_gatekeeping', pattern: 'not allowed to see', description: 'Blocking contact', severity: 8 }
{ name: 'Custody: Without Asking You', category: 'custody_gatekeeping', pattern: 'without asking you', description: 'Unilateral decisions', severity: 7 }
{ name: 'Custody: Emergency Came Up', category: 'custody_schedule_interference', pattern: 'emergency came up', description: 'Manufactured emergencies', severity: 6 }
{ name: 'Custody: Already Made Plans', category: 'custody_schedule_interference', pattern: 'already made plans', description: 'Scheduling over custody time', severity: 7 }
{ name: 'Custody: Tell Your Dad', category: 'custody_child_messenger', pattern: 'tell your dad', description: 'Using child to communicate', severity: 7 }
{ name: 'Custody: Find Out What', category: 'custody_child_messenger', pattern: 'find out what', description: 'Child as spy', severity: 8 }
{ name: 'Custody: Real Dad', category: 'custody_parental_replacement', pattern: 'real dad', description: 'New partner as replacement', severity: 8 }
{ name: 'Custody: Real Family', category: 'custody_parental_replacement', pattern: 'real family', description: 'Redefining family', severity: 8 }
{ name: 'Custody: Change Name', category: 'custody_parental_replacement', pattern: 'change their name', description: 'Name change pressure', severity: 7 }
